      4 ARO_Index
      1 gb|NG_048957.1|+|0-876|ARO:3005595|CTX-M-172
      1 gb|NG_048958.1|+|0-876|ARO:3005596|CTX-M-173
      1 gb|NG_048960.1|+|0-876|ARO:3005598|CTX-M-175
      1 gb|NG_048961.1|+|0-876|ARO:3005599|CTX-M-176
      1 gb|NG_048962.1|+|0-876|ARO:3005600|CTX-M-177
      1 gb|NG_048963.1|+|0-876|ARO:3005602|CTX-M-179
      1 gb|NG_048964.1|+|0-876|ARO:3005603|CTX-M-180
      1 gb|NG_048965.1|+|0-876|ARO:3005604|CTX-M-181
      1 gb|NG_048966.1|+|0-876|ARO:3005605|CTX-M-182
      4 gb|NG_049079.1|+|100-1234|ARO:3006874|EC-13
      4 gb|NG_049080.1|+|100-1234|ARO:3006875|EC-14
      4 gb|NG_049081.1|+|100-1234|ARO:3006876|EC-15
      4 gb|NG_049082.1|+|100-1234|ARO:3006877|EC-16
      4 gb|NG_049083.1|+|100-1234|ARO:3006878|EC-18
      4 gb|NG_049084.1|+|100-1234|ARO:3006879|EC-19
      4 gb|NG_049085.1|+|100-1234|ARO:3006880|EC-5
      4 gb|NG_049086.1|+|100-1234|ARO:3006881|EC-8
      1 gb|NG_050243.1|+|100-961|ARO:3001387|TEM-210
      1 gb|NG_050245.1|+|0-861|ARO:3001389|TEM-212
      1 gb|NG_050254.1|+|0-861|ARO:3005255|TEM-224
      1 gb|NG_050256.1|+|100-961|ARO:3000896|TEM-26
      1 gb|NG_050261.1|+|100-961|ARO:3000902|TEM-32
      1 gb|NG_050264.1|+|13-874|ARO:3000905|TEM-35
      1 gb|NG_050307.1|+|0-861|ARO:3006139|TEM-98
      1 gb|NG_050308.1|+|0-861|ARO:3006140|TEM-99
      1 gb|NG_050812.1|+|0-876|ARO:3005606|CTX-M-183
      1 gb|NG_050813.1|+|0-876|ARO:3005607|CTX-M-184
      1 gb|NG_051165.1|+|0-876|ARO:3005609|CTX-M-186
      1 gb|NG_051467.1|+|0-876|ARO:3005611|CTX-M-188
      1 gb|NG_051468.1|+|0-876|ARO:3005612|CTX-M-189
      1 gb|NG_051509.1|+|100-976|ARO:3005613|CTX-M-190
      1 gb|NG_051737.1|+|0-876|ARO:3001996|CTX-M-138
      1 gb|NG_052650.1|+|0-861|ARO:3000906|TEM-36
      1 gb|NG_052651.1|+|0-861|ARO:3005256|TEM-225
      1 gb|NG_052899.1|+|0-876|ARO:3005616|CTX-M-193
      1 gb|NG_052900.1|+|0-876|ARO:3005617|CTX-M-194
      1 gb|NG_054684.1|+|0-861|ARO:3005257|TEM-226
      1 gb|NG_054686.1|+|0-876|ARO:3005620|CTX-M-197
      1 gb|NG_054696.1|+|0-861|ARO:3005258|TEM-227
      1 gb|NG_055268.1|+|0-876|ARO:3001986|CTX-M-127
      1 gb|NG_055269.1|+|0-876|ARO:3005626|CTX-M-203
      1 gb|NG_055272.1|+|0-876|ARO:3005625|CTX-M-202
      1 gb|NG_055283.1|+|0-876|ARO:3005627|CTX-M-204
      1 gb|NG_056168.1|+|0-861|ARO:3000881|TEM-9
      1 gb|NG_056169.1|+|100-976|ARO:3002004|CTX-M-146
      1 gb|NG_056171.1|+|0-876|ARO:3005629|CTX-M-206
      1 gb|NG_056173.1|+|100-976|ARO:3005630|CTX-M-207
      1 gb|NG_056408.1|+|0-876|ARO:3005601|CTX-M-178
      1 gb|NG_056409.1|+|0-876|ARO:3005610|CTX-M-187
      1 gb|NG_056416.1|+|0-861|ARO:3005260|TEM-229
      1 gb|NG_056417.1|+|0-861|ARO:3005261|TEM-230
      1 gb|NG_056418.1|+|0-861|ARO:3005262|TEM-231
      1 gb|NG_057472.1|+|0-861|ARO:3005263|TEM-232
      1 gb|NG_057474.1|+|0-876|ARO:3005631|CTX-M-208
      1 gb|NG_057475.1|+|0-876|ARO:3005632|CTX-M-209
      1 gb|NG_057476.1|+|0-876|ARO:3005633|CTX-M-210
      1 gb|NG_057477.1|+|0-885|ARO:3005634|CTX-M-211
      1 gb|NG_057478.1|+|0-876|ARO:3005635|CTX-M-212
      1 gb|NG_057581.1|+|0-861|ARO:3005264|TEM-233
      1 gb|NG_057608.1|+|0-876|ARO:3005639|CTX-M-216
      1 gb|NG_057609.1|+|0-861|ARO:3005265|TEM-234
      1 gb|NG_057613.1|+|0-876|ARO:3005641|CTX-M-218
      1 gb|NG_059898.1|+|100-961|ARO:3005266|TEM-235
      1 gb|NG_060560.1|+|0-876|ARO:3005643|CTX-M-220
      1 gb|NG_061609.1|+|0-876|ARO:3005645|CTX-M-222
      1 gb|NG_061611.1|+|0-861|ARO:3005267|TEM-236
      1 gb|NG_062241.1|+|100-976|ARO:3005647|CTX-M-224
      1 gb|NG_062250.1|+|100-961|ARO:3005268|TEM-237
      1 gb|NG_064720.1|+|72-948|ARO:3005648|CTX-M-225
      1 gb|NG_064721.1|+|0-876|ARO:3005649|CTX-M-226
      1 gb|NG_065865.1|+|0-876|ARO:3005650|CTX-M-227
      1 gb|NG_065866.1|+|0-876|ARO:3005651|CTX-M-228
      1 gb|NG_065938.1|+|0-861|ARO:3005271|TEM-241
      1 gb|NG_065939.1|+|0-861|ARO:3005272|TEM-242
      1 gb|NG_065940.1|+|0-861|ARO:3000909|TEM-39
      1 gb|NG_066544.1|+|0-861|ARO:3005270|TEM-240
      1 gb|NG_067138.1|+|0-876|ARO:3002001|CTX-M-143
      1 gb|NG_067139.1|+|0-876|ARO:3005653|CTX-M-230
      1 gb|NG_067140.1|+|0-876|ARO:3005654|CTX-M-231
      1 gb|NG_067141.1|+|0-876|ARO:3005655|CTX-M-232
      1 gb|NG_067163.1|+|0-861|ARO:3005269|TEM-238
      1 gb|NG_067221.1|+|0-876|ARO:3002011|CTX-M-154
      1 gb|NG_068038.1|+|0-861|ARO:3005259|TEM-228
      1 gb|NG_068167.1|+|0-876|ARO:3002010|CTX-M-153
      1 gb|NG_068213.1|+|100-961|ARO:3000901|TEM-31
      1 gb|NG_068214.1|+|100-961|ARO:3000907|TEM-37
      1 gb|NG_068215.1|+|100-961|ARO:3000877|TEM-5
      1 gb|NG_068506.1|+|100-976|ARO:3005659|CTX-M-236
      1 gb|NG_070730.1|+|0-876|ARO:3005660|CTX-M-237
      1 gb|NG_070731.1|+|0-876|ARO:3005661|CTX-M-238
      1 gb|NG_071226.1|+|0-861|ARO:3005273|TEM-243
      1 gb|NG_073460.1|+|0-876|ARO:3005666|CTX-M-244
      1 gb|NZ_SQNR01000043.1|+|1505-2381|ARO:3001948|CTX-M-88
      1 gb|OM617737.1|+|0-861|ARO:3007454|TEM-245
      1 gb|OM617738.1|+|0-861|ARO:3007448|TEM-246
      1 gb|ON651488.1|+|0-861|ARO:3007451|TEM-247
      4 gb|U00096.1|+|2154015-2155263|ARO:3000792|mdtA
      4 gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB
      4 gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC
      4 gb|U00096.1|+|2367070-2368039|ARO:3003578|PmrF
      4 gb|U00096.1|+|2484373-2487967|ARO:3000833|evgS
      4 gb|U00096.1|+|2812615-2814154|ARO:3000074|emrB
      4 gb|U00096.1|+|3413863-3415021|ARO:3000499|AcrE
      5 gb|U00096.1|+|3415032-3418137|ARO:3000502|AcrF
      4 gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF
      4 gb|U00096.1|-|1124117-1125326|ARO:3001216|mdtH
      4 gb|U00096.1|-|2098446-2099613|ARO:3003577|ugd
      4 gb|U00096.1|-|3412802-3413465|ARO:3000656|AcrS
      4 gb|U00096.3|+|2810769-2811300|ARO:3000516|emrR
      4 gb|U00096.3|+|966620-968369|ARO:3003950|msbA
      4 gb|U00096.3|-|2306971-2308615|ARO:3003952|YojI
      4 gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA
      4 gb|U00096.3|-|4377810-4378944|ARO:3004290|Ecol_ampC_BLA
      3 gb|U00096.3|-|4567286-4568519|ARO:3001214|mdtM
      4 gb|U00096.3|-|481253-484403|ARO:3000216|acrB
      4 gb|U00096.3|-|484425-485619|ARO:3004043|Ecol_acrA
      5 gb|U00096.3|-|721055-721733|ARO:3003841|kdpE
      1 gb|U36911.1|+|1429-2290|ARO:3000979|TEM-116
      1 gb|U37195.1|+|75-936|ARO:3000898|TEM-28
      1 gb|U49101.1|+|1490-1838|ARO:3005010|qacEdelta1
      1 gb|U95363.2|+|0-861|ARO:3000912|TEM-43
