ARO Accession	CVTERM ID
ARO:3002638	39038
ARO:3002641	39041
ARO:3002639	39039
ARO:3002642	39042
ARO:3002640	39040
ARO:3002644	39044
ARO:3002645	39045
ARO:3002646	39046
ARO:3002647	39047
ARO:3002648	39048
ARO:3004087	41192
ARO:3002649	39049
ARO:3002650	39050
ARO:3002651	39051
ARO:3002652	39052
ARO:3002653	39053
ARO:3002654	39054
ARO:3004680	42729
ARO:3004086	41190
ARO:3002655	39055
ARO:3002656	39056
ARO:3002657	39057
ARO:3002658	39058
ARO:3002659	39059
ARO:3002660	39060
ARO:3002661	39061
ARO:3002662	39062
ARO:3002663	39063
ARO:3007539	46310
ARO:3004675	42723
ARO:3003918	40626
ARO:3002993	39427
ARO:3004647	42664
ARO:3004648	42665
ARO:3004734	42843
ARO:3004735	42845
ARO:3004736	42846
ARO:3004737	42847
ARO:3004738	42848
ARO:3004739	42849
ARO:3000838	37218
ARO:3000839	37219
ARO:3000858	37238
ARO:3004056	41121
ARO:3002985	39419
ARO:3005053	43254
ARO:3002846	39280
ARO:3002847	39281
ARO:3002848	39282
ARO:3002849	39283
ARO:3002850	39284
ARO:3002852	39286
ARO:3002853	39287
ARO:3004740	42850
ARO:3006897	45359
ARO:3006898	45360
ARO:3006899	45361
ARO:3006900	45362
ARO:3006901	45363
ARO:3004143	41272
ARO:3004144	41273
ARO:3004145	41274
ARO:3002986	39420
ARO:3002672	39106
ARO:3003324	39908
ARO:3003788	40473
ARO:3007073	45635
ARO:3007527	46298
ARO:3000828	37208
ARO:3000829	37209
ARO:3003984	40866
ARO:3003297	39881
ARO:3003302	39886
ARO:3003582	40192
ARO:3003583	40193
ARO:3004747	42858
ARO:3002877	39311
ARO:3002878	39312
ARO:3007101	45668
ARO:3004749	42861
ARO:3003801	40486
ARO:3002987	39421
ARO:3002988	39422
ARO:3003250	39834
ARO:3002385	38785
ARO:3002386	38786
ARO:3002387	38787
ARO:3006154	44616
ARO:3004751	42863
ARO:3004753	42865
ARO:3004480	41743
ARO:3003730	40419
ARO:3004755	42867
ARO:3000856	37236
ARO:3004757	42869
ARO:3006223	44685
ARO:3000090	36229
ARO:3004189	41353
ARO:3005522	43984
ARO:3005523	43985
ARO:3005524	43986
ARO:3005525	43987
ARO:3005526	43988
ARO:3005527	43989
ARO:3005528	43990
ARO:3005529	43991
ARO:3005530	43992
ARO:3005531	43993
ARO:3005532	43994
ARO:3005533	43995
ARO:3005534	43996
ARO:3005535	43997
ARO:3005536	43998
ARO:3005537	43999
ARO:3005538	44000
ARO:3005539	44001
ARO:3005540	44002
ARO:3005541	44003
ARO:3005542	44004
ARO:3005543	44005
ARO:3005544	44006
ARO:3005545	44007
ARO:3005546	44008
ARO:3005547	44009
ARO:3005548	44010
ARO:3005549	44011
ARO:3005550	44012
ARO:3005551	44013
ARO:3005552	44014
ARO:3005553	44015
ARO:3005554	44016
ARO:3005555	44017
ARO:3005556	44018
ARO:3005557	44019
ARO:3007182	45921
ARO:3003562	40169
ARO:3000160	36299
ARO:3000217	36356
ARO:3005111	43326
ARO:3005036	43234
ARO:3003006	39440
ARO:3003007	39441
ARO:3003504	40106
ARO:3003503	40105
ARO:3003502	40104
ARO:3003777	40454
ARO:3004759	42871
ARO:3004133	41260
ARO:3004761	42874
ARO:3004762	42875
ARO:3001205	37586
ARO:3003772	40445
ARO:3006902	45364
ARO:3004860	42996
ARO:3004123	41248
ARO:3004294	41460
ARO:3005558	44020
ARO:3007635	46409
ARO:3004559	42465
ARO:3004454	41665
ARO:3004546	42445
ARO:3003789	40474
ARO:3003931	40641
ARO:3006903	45365
ARO:3002817	39251
ARO:3002240	38640
ARO:3002249	38649
ARO:3005559	44021
ARO:3002250	38650
ARO:3002252	38652
ARO:3002255	38655
ARO:3002254	38654
ARO:3003174	39751
ARO:3003175	39752
ARO:3002241	38641
ARO:3003150	39727
ARO:3003176	39753
ARO:3003151	39728
ARO:3003186	39763
ARO:3005560	44022
ARO:3005561	44023
ARO:3005562	44024
ARO:3005563	44025
ARO:3005564	44026
ARO:3005565	44027
ARO:3002242	38642
ARO:3005566	44028
ARO:3005567	44029
ARO:3005568	44030
ARO:3005569	44031
ARO:3005570	44032
ARO:3005571	44033
ARO:3005572	44034
ARO:3005573	44035
ARO:3002243	38643
ARO:3005574	44036
ARO:3005575	44037
ARO:3005576	44038
ARO:3005577	44039
